passage_id,corpus,analysis_profile,analysis_reading,granularity,book,start_reference,end_reference,disputed_passage_ids_json,token_count
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_MRK_016_009~5a2475495b288ec044b7a8e6f920cfa7d314f5bdd23b1cdcc79e8c5e76482c48,greek,edition_complete,source,clause,MRK,MRK 16:9,MRK 16:9,"[""mark_longer_ending""]",4
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_MRK_016_009~38f8f1b5a32312bc30fa17de354c2dd26f2c84b27b5417a985dc6a3f92c2e4ca,greek,edition_complete,source,clause,MRK,MRK 16:9,MRK 16:9,"[""mark_longer_ending""]",1
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_MRK_016_009~1611285580ad78e33e872710fed728a018369ec03cac1eb9e1fb8ae9d6f5a797,greek,edition_complete,source,clause,MRK,MRK 16:9,MRK 16:9,"[""mark_longer_ending""]",5
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_MRK_016_009~5233b5daf8f1679e243c4d23a33e45f21a308284e6e84139c14dcc7da861de5c,greek,edition_complete,source,clause,MRK,MRK 16:9,MRK 16:9,"[""mark_longer_ending""]",5
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_MRK_016_010~076300925b2f2d86ad1d57548c7ec72995f6e2a9b1da19da60a9400959ab779a,greek,edition_complete,source,clause,MRK,MRK 16:10,MRK 16:10,"[""mark_longer_ending""]",3
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_MRK_016_010~8e7282fd3bcf649a5350be63f03c7a192ebadd57d0e47b8aa66aa1bedca12fc8,greek,edition_complete,source,clause,MRK,MRK 16:10,MRK 16:10,"[""mark_longer_ending""]",1
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_MRK_016_010~988b5af61b425cc3830d14f60795d72856c84ca88295b6c859c06230759d321a,greek,edition_complete,source,clause,MRK,MRK 16:10,MRK 16:10,"[""mark_longer_ending""]",3
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_MRK_016_010~56ca345039fdc03bf3c9f1a50349c424907fe6244d0d36e942fb47a74ca16b96,greek,edition_complete,source,clause,MRK,MRK 16:10,MRK 16:10,"[""mark_longer_ending""]",1
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_MRK_016_010~0abe67a5ddcdeeaa574c9d82cd58f8f40e97670ac45feb987d332a8dc58049f2,greek,edition_complete,source,clause,MRK,MRK 16:10,MRK 16:10,"[""mark_longer_ending""]",1
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_MRK_016_010~b32f8b2feba89e1dfe4915cd14e8527d63ecc183e5407f1b1b6996d6580b453e,greek,edition_complete,source,clause,MRK,MRK 16:10,MRK 16:10,"[""mark_longer_ending""]",1
P_GNT_EDITION_COMPLETE_SOURCE_CLAUSE_MRK_016_011~ad46b7014dd8704a7a2337364ac70602d82e931a004acf730e4308484c776411,greek,edition_complete,source,clause,MRK,MRK 16:11,MRK 16:11,"[""mark_longer_ending""]",2
