corpus,analysis_profile,analysis_reading,granularity,book,passage_count,membership_rows,reference_gap_count,disputed_passage_count,ketiv_uncertain_count,sensitivity_exclusion_count
greek,critical_core,source,clause,MAT,6496,18299,1,0,0,0
greek,critical_core,source,clause,MRK,4240,11077,2,0,0,0
greek,critical_core,source,clause,LUK,7095,19456,1,0,0,0
greek,critical_core,source,clause,JHN,5749,15453,0,0,0,0
greek,critical_core,source,clause,ACT,5952,18393,0,0,0,0
greek,critical_core,source,clause,ROM,2204,7100,4,0,0,0
greek,critical_core,source,clause,1CO,2488,6820,0,0,0,0
greek,critical_core,source,clause,2CO,1451,4469,0,0,0,0
greek,critical_core,source,clause,GAL,750,2228,2,0,0,0
greek,critical_core,source,clause,EPH,538,2419,0,0,0,0
greek,critical_core,source,clause,PHP,482,1630,1,0,0,0
greek,critical_core,source,clause,COL,348,1575,0,0,0,0
greek,critical_core,source,clause,1TH,421,1473,2,0,0,0
greek,critical_core,source,clause,2TH,217,822,0,0,0,0
greek,critical_core,source,clause,1TI,466,1588,0,0,0,0
greek,critical_core,source,clause,2TI,345,1237,0,0,0,0
greek,critical_core,source,clause,TIT,163,658,1,0,0,0
greek,critical_core,source,clause,PHM,79,335,0,0,0,0
greek,critical_core,source,clause,HEB,1488,4955,3,0,0,0
greek,critical_core,source,clause,JAS,608,1739,0,0,0,0
greek,critical_core,source,clause,1PE,480,1676,0,0,0,0
greek,critical_core,source,clause,2PE,289,1098,0,0,0,0
greek,critical_core,source,clause,1JN,730,2136,0,0,0,0
greek,critical_core,source,clause,2JN,73,245,0,0,0,0
greek,critical_core,source,clause,3JN,79,219,0,0,0,0
greek,critical_core,source,clause,JUD,125,457,0,0,0,0
greek,critical_core,source,clause,REV,2716,9832,0,0,0,0
greek,critical_core,source,five_verse,MAT,1064,91167,12,0,0,0
greek,critical_core,source,five_verse,MRK,657,55061,17,0,0,0
greek,critical_core,source,five_verse,LUK,1145,97057,8,0,0,0
greek,critical_core,source,five_verse,JHN,859,76506,0,0,0,0
greek,critical_core,source,five_verse,ACT,998,91617,14,0,0,0
greek,critical_core,source,five_verse,ROM,428,35213,3,0,0,0
greek,critical_core,source,five_verse,1CO,433,33835,0,0,0,0
greek,critical_core,source,five_verse,2CO,252,21959,0,0,0,0
greek,critical_core,source,five_verse,GAL,145,10835,0,0,0,0
greek,critical_core,source,five_verse,EPH,151,11776,0,0,0,0
greek,critical_core,source,five_verse,PHP,100,7889,0,0,0,0
greek,critical_core,source,five_verse,COL,91,7584,0,0,0,0
