check_id,category,corpus,analysis_profile,analysis_reading,granularity,references_json,passage_ids_json,passage_count,membership_count,disputed_count,reference_gap_count,ketiv_uncertainty_count,chapter_crossing_count,exclusion_count,source_ids_json,language_counts_json,elided_token_count,leading_punctuation_token_count,trailing_punctuation_token_count,membership_sha256,reconstruction_sha256,lemma_sequence_sha256,provenance_sha256,verification_sha256,neighbor_check,comparison_check,status
h-genesis-narrative,Genesis narrative,hebrew,edition_complete,qere,verse,"[""GEN 22:1""]","[""P_HB_EDITION_COMPLETE_QERE_VERSE_GEN_022_001~e9a9b5c0ed08edff146d53f2f2986e1491038bea8b044ac77626b4e29963252c""]",1,22,0,0,0,0,0,"[""macula-hebrew""]","{""hebrew"":22}",0,0,0,0735ace10ac9aeba9366795aea3a729f935af063c6b5889e226f7c56ed16e912,0ee419e4ef54ebcd03e7e09cd54df56c445beb3c38e54f5b7ec69ae2cba678c8,0c917cf0edf5d095a6369d6cad85405fd68b5128dc2312b6eb5514ab3760369d,2a7bf07df89ab940d8437ee2c88c6bbeba024109dc51181317ad86b5bf7f5a1b,ddb2a252273c7472aac7e5e3de4944248fcf3c3f2ff784ae21549fcd5fd35318,passed,not_applicable,PASS
h-torah-legal,Torah legal material,hebrew,edition_complete,qere,verse,"[""LEV 19:18""]","[""P_HB_EDITION_COMPLETE_QERE_VERSE_LEV_019_018~bbd92a909b65df8ca5f273657a53d31b4d93c12ad7484f47e99d4db7ff1a0c8d""]",1,18,0,0,0,0,0,"[""macula-hebrew""]","{""hebrew"":18}",0,0,0,4ecbd1ab7e30e13f092a14a880a7db0ebbdf79cada2f83f984ef94f68b2d44a6,0376f892dc6a6f1b8e9848905e9da082f3ddf34a45493337dd280d58508b432b,323276c97f13cb334c1a0f180afa3dd8a81bd092b39f6f1738bc4413e3c4352b,9b2fe46ae89ff4c9d091de8e0b343497a19b9defac6b6b48c8c92770630220fe,c7226d97f8fd6d253641b5814cb47d0201387af0f1eb6fdce5e71d01277f71af,passed,not_applicable,PASS
h-samuel-paired-multiword-kq,Samuel narrative; paired Ketiv/Qere locus; multiword Ketiv locus,hebrew,edition_complete,ketiv,verse,"[""1SA 9:1""]","[""P_HB_EDITION_COMPLETE_KETIV_VERSE_1SA_009_001~e26be744da9974061c93ae2e5e978daa12edea8c54545fe82065930a921228b2""]",1,22,0,0,1,0,0,"[""macula-hebrew"",""oshb-morphhb""]","{""hebrew"":22}",0,0,0,a95dd0678cca69d6d812a5d4dffc693019a5bd2d9192835e62a2114180bbfc7b,cb4ebb91a65dc4e4a4d00b6fc0a9af7052e1908e537db98a299cadc5d9af5ee0,7e9864e0b08064aede4f392df7a1fed1fc093c339e1f9c0ffde4cec423b60c78,9120eee3a909cc3206d78f8ce81b4f687928b51230d5d22be477d4bcfcd27eeb,ff5dfe3c47c51314e14a7203bed306f45e82afab1a2ecadbce369b313e8614f0,passed,edition_complete/qere:1,PASS
h-psalms,Psalms,hebrew,edition_complete,qere,verse,"[""PSA 23:1""]","[""P_HB_EDITION_COMPLETE_QERE_VERSE_PSA_023_001~f3c3b679268f4b41a854bf4faa783738379145241ded4766abd849c5bea3deab""]",1,8,0,0,0,0,0,"[""macula-hebrew""]","{""hebrew"":8}",0,0,0,07225d23a24750134c44ad8035dcd9c7b2dbd1eb8062a454d31130a122c6be40,38892f8bedc8f87fb6d7d97e1e83682cf023f7f7b9843d9b7b7bdeca37812dd4,0560e9b0e6a9c7e4330bfc499c35d34a23c376fec9315949769ee9a51d34a9ff,52a3b74032a7b884dc84cc5aff4d9bc719431e90bfece4382cd3b8603ee56d2f,2e2b53850ba5bb3bac05b9b240098750c8b6cec25d805fe39bf650427e479da2,passed,not_applicable,PASS
h-job-wisdom,Job or Proverbs,hebrew,edition_complete,qere,verse,"[""JOB 38:1""]","[""P_HB_EDITION_COMPLETE_QERE_VERSE_JOB_038_001~e032815945648437a830e7edc6a421b3333b64556d4b4f29249b55a5096df402""]",1,10,0,0,0,0,0,"[""macula-hebrew""]","{""hebrew"":10}",0,0,0,7ab5bd521a3c363ee25262ac5c54f68307a17c3eec94d454cc64b96139c01660,00faa40a5f42a19cabce5d30f8a437a71f9fddd7ac61bdc790fb0868841ecdb1,330b396a8617dd81b98461d56acbcda2266fad882b78f1c8914ac1a36367d4b3,8efba8a613981692e37dc70b7c3fbb21db040820e9b33037e01ee99d790f50cf,140d8c2280a4c1ea5d260420f627aab96fdfb84de739c7970491294c6e99b4fa,passed,not_applicable,PASS
h-major-prophet,Major prophet,hebrew,edition_complete,qere,verse,"[""ISA 6:1""]","[""P_HB_EDITION_COMPLETE_QERE_VERSE_ISA_006_001~85c2d7d176a55ba23b41d76060cb21cabe99806a550d5fd3d4805784c6c7ee83""]",1,24,0,0,0,0,0,"[""macula-hebrew""]","{""hebrew"":24}",0,0,0,723d86a4e3caf5f8ee2bd9bedb03d1088eaa3405701a809a62026701d0bbefe4,058fb8ef314d5cd24989110d6c608f53af7b0a5b285a9349ce954f4b71b1e3f8,4fb0de6b791051546450d821c0344e4981dabf883555f9136171c9fc749702e2,fd559932d43ef93d7f3d9adc656a049bbe09b5494d1d16a77b19f24f5f6887b2,2fd087f7ec651c18216270028940ad5b2a71bffa30a8871dfefe616d990a66a8,passed,not_applicable,PASS
h-minor-prophet,Minor prophet,hebrew,edition_complete,qere,verse,"[""OBA 1:1""]","[""P_HB_EDITION_COMPLETE_QERE_VERSE_OBA_001_001~d3e29fcde7583a90f596f696a3e4ccdca20b16f2190d02fc1eb3943fb9c7ee3f""]",1,28,0,0,0,0,0,"[""macula-hebrew""]","{""hebrew"":28}",0,0,0,c13da3f2eae73548b2074c80f23f735835bbe6defb845b1dae64907d3ba40274,f549cab221a7d436702979988edaa2e884277acb537c06c080c573aa3cfba0ef,d9d9868ed3ae61596e8d91a7765421d4797765cd1283e3ec14b40f8bd52fd32a,3eec7d20871ea1ed446cecc138e33810b25a3a6bd0d01da93b3a33a629ea07e2,4751fdbfbf0b4193a1501af0d063edb6392325af7a137bbd8d0ae536c966b06d,passed,not_applicable,PASS
h-ezra-aramaic,Ezra Aramaic,hebrew,edition_complete,qere,verse,"[""EZR 4:8""]","[""P_HB_EDITION_COMPLETE_QERE_VERSE_EZR_004_008~50f6d56f13c110adc2e3531447cf293dfb0763a21c17e86267956c2e9d8cba5e""]",1,17,0,0,0,0,0,"[""macula-hebrew""]","{""aramaic"":17}",0,0,0,fecdb9d37e4b44924c1ff7e1f7cdbcad2fab81f77c2a105bb01bfae4e06f13a7,31747ef04bcfb1800cf4c64f2ca589527d02d94397b981d9f0fd7bf1f8ad5ae6,f01b35e6942be29a91eeeadb207d95b2456d1f39b3a6edcec6054677a0e7f254,b339fe9ea28d376bb5bae38dad896517a80335229caf5eb7f2f35113156456b0,b6401fd2fb5c32d1e3ce2335c4a5e8c1f6f0a62a9228fa138d46c54f8e7254da,passed,not_applicable,PASS
h-daniel-language-transition,Daniel Hebrew-to-Aramaic transition,hebrew,edition_complete,qere,verse,"[""DAN 2:4""]","[""P_HB_EDITION_COMPLETE_QERE_VERSE_DAN_002_004~2607e1b71bfc9718cdf56eb83cbdf1cd3ddcf47e82c896ae0de19a8f2782802f""]",1,23,0,0,0,0,0,"[""macula-hebrew""]","{""aramaic"":15,""hebrew"":8}",0,0,0,34775b82d8d20035be46dc8b4f6cdd50b7103ae7c569ee671e093e6935adc04c,955cfde1a9a9bfd59710aa45041c75401a48078985f41dc78304cd261e607bde,f992b22852182af272773ff24ca76118ee29b68e4c6f273fd5026ca17821d8f2,9938a5f4586490b77e93b256016322b5aaa6842e90bd90f1e6a311fd3cccde62,fbdb08dffc0d44c6e2960b347417644b371da9d658f41a81247812d93bc4ceba,passed,not_applicable,PASS
h-ketiv-only-locus,Kings; Ketiv-only locus,hebrew,edition_complete,ketiv,verse,"[""2KI 5:18""]","[""P_HB_EDITION_COMPLETE_KETIV_VERSE_2KI_005_018~126c2279e2fef16200604b3a1323c3426ec51c529cbee56da97893eda52f608c""]",1,46,0,0,1,0,0,"[""macula-hebrew"",""oshb-morphhb""]","{""hebrew"":46}",0,0,0,4dbeb84ae745ade4fc93ec40d7e60cb96e400f4f7c27b52d89fefcc564b6229d,a8212133e6c5a599840f14f770950b91ae8fac3946fa0a8e047548b1b8702ab3,df787084db3fa9e232fa8d03303dbc851df235b5cba24ea2ec002ef78c232b57,7c28f198bcb81314b87c9a08637cfb99336393cc63c8a501743956bd268fc7da,6e8ceafe85eb7061c7e8737aa264809a67ae978694b276ed3489694ff3af12cb,passed,edition_complete/qere:1,PASS
