passage_id,corpus,analysis_profile,analysis_reading,granularity,book,start_reference,end_reference,reference_sequence_json,token_count
P_GNT_CRITICAL_CORE_SOURCE_CLAUSE_MAT_013_004_MAT_013_008~c6c6e28a7958ddeeff49dcf4afa78757dbbaaf2b7779cd22fba2781d4b9d7c91,greek,critical_core,source,clause,MAT,MAT 13:4,MAT 13:8,"[""MAT 13:4"",""MAT 13:5"",""MAT 13:7"",""MAT 13:8""]",4
P_GNT_CRITICAL_CORE_SOURCE_CLAUSE_MRK_004_004_MRK_004_008~1505e4070fc4a8ddeeca650cdf761e2a695c6730e402e40e593f19446fd3268e,greek,critical_core,source,clause,MRK,MRK 4:4,MRK 4:8,"[""MRK 4:4"",""MRK 4:5"",""MRK 4:7"",""MRK 4:8""]",4
P_GNT_CRITICAL_CORE_SOURCE_CLAUSE_MRK_005_025_MRK_005_027~15a2ca0d286a41a420e1a0ae17e701087005b0077797d24e4ba3dd081e7dbad9,greek,critical_core,source,clause,MRK,MRK 5:25,MRK 5:27,"[""MRK 5:25"",""MRK 5:27""]",5
P_GNT_CRITICAL_CORE_SOURCE_CLAUSE_LUK_002_030_LUK_002_032~f525cd619339a3edc5268d8db6f20f2473131c8d3f75b14c333569358051a93e,greek,critical_core,source,clause,LUK,LUK 2:30,LUK 2:32,"[""LUK 2:30"",""LUK 2:32""]",16
P_GNT_CRITICAL_CORE_SOURCE_CLAUSE_ROM_001_001_ROM_001_007~f4adbe1ff49a44ee80c74f6b73b05fd20f4282f2852442fab1f0be27c906dd2e,greek,critical_core,source,clause,ROM,ROM 1:1,ROM 1:7,"[""ROM 1:1"",""ROM 1:7""]",12
P_GNT_CRITICAL_CORE_SOURCE_CLAUSE_ROM_015_018_ROM_015_020~cb1b27ce66d313f3ede9bd5bef89328f4698a9903e1fbf5989d680a1c7534af4,greek,critical_core,source,clause,ROM,ROM 15:18,ROM 15:20,"[""ROM 15:18"",""ROM 15:20""]",2
P_GNT_CRITICAL_CORE_SOURCE_CLAUSE_ROM_016_003_ROM_016_005~d7235f5ddbc4f5324105e3281558e2a1792e3b5ab24ea5fab39100f2450bf1c7,greek,critical_core,source,clause,ROM,ROM 16:3,ROM 16:5,"[""ROM 16:3"",""ROM 16:5""]",16
P_GNT_CRITICAL_CORE_SOURCE_CLAUSE_ROM_016_025_ROM_016_027~da8a23bd20e8de4276391e92fc8ebee23e7918d68507b7ffc96fe24b1040e3f5,greek,critical_core,source,clause,ROM,ROM 16:25,ROM 16:27,"[""ROM 16:25"",""ROM 16:27""]",4
P_GNT_CRITICAL_CORE_SOURCE_CLAUSE_GAL_002_007_GAL_002_009~c9c10e82e7e433fe25d091448af508e3a8f17762e7db6673b1cfeb457f3a028f,greek,critical_core,source,clause,GAL,GAL 2:7,GAL 2:9,"[""GAL 2:7"",""GAL 2:9""]",13
P_GNT_CRITICAL_CORE_SOURCE_CLAUSE_GAL_004_024_GAL_004_026~e343ae6f8c00ff2dfeb5391124a2dc19ad004217c28f17f02573570b4cae8855,greek,critical_core,source,clause,GAL,GAL 4:24,GAL 4:26,"[""GAL 4:24"",""GAL 4:26""]",2
P_GNT_CRITICAL_CORE_SOURCE_CLAUSE_PHP_001_003_PHP_001_005~d3105f392054accbe4352fdb1ca39aa8af714523b6a759a66d68d129b6b1e54f,greek,critical_core,source,clause,PHP,PHP 1:3,PHP 1:5,"[""PHP 1:3"",""PHP 1:5""]",23
P_GNT_CRITICAL_CORE_SOURCE_CLAUSE_1TH_002_005_1TH_002_007~117a00dbfec67470e333079d5c0d463af6d0c844c0ce30a7fa780ae234cb5e48,greek,critical_core,source,clause,1TH,1TH 2:5,1TH 2:7,"[""1TH 2:5"",""1TH 2:7""]",2
P_GNT_CRITICAL_CORE_SOURCE_CLAUSE_1TH_004_004_1TH_004_006~e0cba2df770f6f93381adee94fc5d5ced6b27ed01e0f8cead263ea3dd06a2115,greek,critical_core,source,clause,1TH,1TH 4:4,1TH 4:6,"[""1TH 4:4"",""1TH 4:6""]",4
P_GNT_CRITICAL_CORE_SOURCE_CLAUSE_TIT_001_001_TIT_001_004~331ee83de4d4b76d4e3ed7e557fe31e338ea99c988f14e2cb029188833fb673c,greek,critical_core,source,clause,TIT,TIT 1:1,TIT 1:4,"[""TIT 1:1"",""TIT 1:2"",""TIT 1:4""]",27
P_GNT_CRITICAL_CORE_SOURCE_CLAUSE_HEB_006_004_HEB_006_006~10d51208375d544555f95ec3e23ad352a7a664952c0f523282ecf42a9e2ab24d,greek,critical_core,source,clause,HEB,HEB 6:4,HEB 6:6,"[""HEB 6:4"",""HEB 6:6""]",5
P_GNT_CRITICAL_CORE_SOURCE_CLAUSE_HEB_007_001_HEB_007_003~54c5b0055132e13f62e66755e849fb16d777b5601859338d073a53ea4d0db697,greek,critical_core,source,clause,HEB,HEB 7:1,HEB 7:3,"[""HEB 7:1"",""HEB 7:3""]",19
P_GNT_CRITICAL_CORE_SOURCE_CLAUSE_HEB_008_004_HEB_008_006~0708463179cec2c55742694a289b48ed424804978a289776f111ce28fcf2e4fc,greek,critical_core,source,clause,HEB,HEB 8:4,HEB 8:6,"[""HEB 8:4"",""HEB 8:6""]",2
P_GNT_CRITICAL_CORE_SOURCE_FIVE_VERSE_MAT_017_017_MAT_017_022~139dd7063e98617a28a38babeca8532ec09387df8b88bd2cf25ed84e65700a69,greek,critical_core,source,five_verse,MAT,MAT 17:17,MAT 17:22,"[""MAT 17:17"",""MAT 17:18"",""MAT 17:19"",""MAT 17:20"",""MAT 17:22""]",108
P_GNT_CRITICAL_CORE_SOURCE_FIVE_VERSE_MAT_017_018_MAT_017_023~e146defff5353f165f61d49d744ead58dbef7e68676249dc09ffb8f5efae7136,greek,critical_core,source,five_verse,MAT,MAT 17:18,MAT 17:23,"[""MAT 17:18"",""MAT 17:19"",""MAT 17:20"",""MAT 17:22"",""MAT 17:23""]",96
P_GNT_CRITICAL_CORE_SOURCE_FIVE_VERSE_MAT_017_019_MAT_017_024~a30f76fc9fedc1fc24ba596ba6427f2c3294b53a614844c483c65106d1063c3c,greek,critical_core,source,five_verse,MAT,MAT 17:19,MAT 17:24,"[""MAT 17:19"",""MAT 17:20"",""MAT 17:22"",""MAT 17:23"",""MAT 17:24""]",97
