locus_id,source_book_identifier,canonical_book,chapter,verse,kind,resolution_status,unresolved_fields,field_statuses
KQL_1CH_002_016_0001,1Chr,1CH,2,16,paired,partially_resolved,clause;phrase,clause=missing_primary_structure;phrase=boundary_disagreement;sentence=resolved
KQL_1CH_004_007_0004,1Chr,1CH,4,7,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_1CH_004_020_0007,1Chr,1CH,4,20,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_1CH_004_041_0013,1Chr,1CH,4,41,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_1CH_007_034_0004,1Chr,1CH,7,34,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_1CH_007_034_0006,1Chr,1CH,7,34,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_1CH_008_025_0002,1Chr,1CH,8,25,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_1CH_009_004_0009,1Chr,1CH,9,4,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_1CH_011_011_0010,1Chr,1CH,11,11,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_1CH_011_017_0001,1Chr,1CH,11,17,paired,partially_resolved,clause;phrase,clause=missing_primary_structure;phrase=boundary_disagreement;sentence=resolved
KQL_1CH_011_020_0016,1Chr,1CH,11,20,paired,partially_resolved,clause;phrase,clause=missing_primary_structure;phrase=boundary_disagreement;sentence=resolved
KQL_1CH_011_044_0004,1Chr,1CH,11,44,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_1CH_012_003_0007,1Chr,1CH,12,3,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_1CH_012_006_0006,1Chr,1CH,12,6,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_1CH_012_016_0013,1Chr,1CH,12,16,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_1CH_012_019_0006,1Chr,1CH,12,19,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_1CH_018_010_0008,1Chr,1CH,18,10,paired,partially_resolved,clause;phrase,clause=boundary_disagreement;phrase=boundary_disagreement;sentence=resolved
KQL_1CH_022_007_0004,1Chr,1CH,22,7,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_1CH_025_001_0010,1Chr,1CH,25,1,paired,partially_resolved,clause;phrase,clause=boundary_disagreement;phrase=boundary_disagreement;sentence=resolved
KQL_1CH_026_025_0011,1Chr,1CH,26,25,paired,partially_resolved,clause;phrase,clause=boundary_disagreement;phrase=boundary_disagreement;sentence=resolved
KQL_1CH_027_012_0006,1Chr,1CH,27,12,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_1KI_001_027_0011,1Kgs,1KI,1,27,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_1KI_002_024_0006,1Kgs,1KI,2,24,paired,partially_resolved,clause;phrase,clause=boundary_disagreement;phrase=boundary_disagreement;sentence=resolved
KQL_1KI_004_007_0017,1Kgs,1KI,4,7,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_1KI_005_017_0024,1Kgs,1KI,5,17,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_1KI_006_006_0001,1Kgs,1KI,6,6,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_1KI_006_010_0003,1Kgs,1KI,6,10,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_1KI_006_016_0005,1Kgs,1KI,6,16,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_1KI_006_021_0009,1Kgs,1KI,6,21,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_1KI_006_038_0014,1Kgs,1KI,6,38,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
KQL_1KI_007_020_0011,1Kgs,1KI,7,20,paired,partially_resolved,phrase,clause=resolved;phrase=boundary_disagreement;sentence=resolved
